,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID1282022974,0.0,5,2,-37.8105624,144.9364836,-37.8207036,144.9480378,1775.0,2018-04-04,03:50:38,400.56000000000006,3:57:18,14.14
ID1158488261,,7,8,-37.8618349,144.905716,-37.807202,145.0266373,13986.0,2018-01-24,11:25:40,4292.399999999998,12:37:12,10.8
ID3243847878,1.0,6,9,-37.7874421,144.9804091,-38.1109156,144.6541725,47035.0,2018-07-03,19:11:08,11407.859999999999,22:21:15,54.77
ID1855101110,0.0,2,7,-37.8218293,144.9522232,-37.8618349,144.905716,8449.0,2018-01-05,23:32:35,2927.52,0:21:22,18.61
ID3243007427,,5,4,-37.813111,144.9335591,-37.8097671,144.9926624,6439.0,2018-05-24,08:59:46,1609.56,9:26:35,12.47
ID1456755132,,9,8,-38.1109156,144.6541725,-37.8158343,145.04645,51032.0,2018-04-23,21:44:31,12681.060000000005,1:15:52,35.52
ID1660499921,0.0,5,1,-37.801931,144.9377721,-37.8169654,144.9664292,4209.0,2018-05-28,14:15:00,1124.8200000000004,14:33:44,9.31
ID1819803391,0.0,9,5,-38.1109156,144.6541725,-37.8059927,144.9325098,43540.0,2018-04-24,15:59:15,10431.059999999996,18:53:06,24.72
ID3439304827,1.0,1,9,-37.8221978,144.9568072,-38.1109156,144.6541725,42851.0,2018-04-27,02:49:01,10392.359999999999,5:42:13,58.03
ID1457478090,,1,9,-37.8047996,144.9515587,-38.1109156,144.6541725,43476.0,2018-01-09,03:33:37,10448.759999999998,6:27:45,30.61
ID1680563903,0.0,2,8,-37.8134156,144.940074,-37.8158343,145.04645,9713.0,2018-07-07,11:14:05,2724.8999999999996,11:59:29,14.18
ID1807027243,0.0,7,9,-37.8618349,144.905716,-38.1109156,144.6541725,50797.0,2018-07-15,01:51:12,13173.359999999999,5:30:45,40.95
ID1538622120,0.0,5,9,-37.8075805,144.9324425,-38.1109156,144.6541725,43252.0,2018-03-21,11:41:09,10379.279999999999,14:34:08,21.48
ID1281294152,0.0,3,1,-37.8204694,144.9850547,-37.8236214,144.9558887,2968.0,2018-02-08,21:49:57,757.5600000000001,22:02:34,14.47
ID3829320571,1.0,9,2,-38.1109156,144.6541725,-37.8245751,144.9528366,42548.0,2018-03-22,03:50:44,10292.399999999998,6:42:16,55.7
ID5234953084,,3,2,-37.8237924,144.978438,-37.8231569,144.9382363,4127.0,2018-06-06,09:36:13,1022.6999999999999,9:53:15,69.75
ID3673117345,,6,8,-37.7738026,144.9836466,-37.8158343,145.04645,13562.0,2018-03-26,12:21:26,4213.5599999999995,13:31:39,28.35
ID1953148924,,5,7,-37.8068301,144.9378108,-37.8618349,144.905716,10470.0,2018-02-02,18:07:39,3406.0200000000004,19:04:25,13.47
ID3618696442,1.0,5,9,-37.7949801,144.9309314,-38.1109156,144.6541725,44632.0,2018-07-05,22:33:14,10771.199999999999,1:32:45,58.25
ID5122644768,2.0,3,6,-37.8230742,145.0053099,-37.7907967,144.985865,5299.0,2018-04-17,01:00:13,1476.8999999999999,1:24:49,115.05
ID1885506393,,1,8,-37.8214827,144.945538,-37.807202,145.0266373,8345.0,2018-05-14,03:02:03,2113.320000000001,3:37:16,16.0
ID3810587240,,3,2,-37.8263028,144.9798403,-37.8240925,144.9352979,4571.0,2018-04-28,03:52:01,1138.5000000000007,4:10:59,23.57
ID1953753570,0.0,2,8,-37.814952,144.9450373,-37.8158343,145.04645,9156.0,2018-05-23,08:50:33,2587.08,9:33:40,8.37
ID5370369110,,6,2,-37.7874421,144.9804091,-37.8164324,144.9284395,7583.0,2018-07-25,08:31:57,1977.8400000000006,9:04:54,125.11
ID5856759879,2.0,6,7,-37.7738026,144.9836466,-37.8618349,144.905716,16033.0,2018-01-04,10:37:01,5323.559999999998,12:05:44,318.66
ID3918994752,1.0,1,9,-37.8046445,144.9398597,-38.1109156,144.6541725,43477.0,2018-03-07,22:52:18,10405.259999999998,1:45:43,57.99
ID3380505224,1.0,1,2,-37.8111424,144.9731046,-37.8210479,144.9430036,3153.0,2018-04-17,08:23:34,744.2999999999996,8:35:58,8.27
ID1412791962,0.0,1,8,-37.8070871,144.9657544,-37.8158343,145.04645,7189.0,2018-01-27,16:37:05,2111.88,17:12:16,17.48
ID3810661756,1.0,8,6,-37.807202,145.0266373,-37.7907967,144.985865,4834.0,2018-01-15,04:44:21,1358.6400000000006,5:06:59,20.84
ID5796005900,,8,9,-37.807202,145.0266373,-38.1109156,144.6541725,49777.0,2018-03-13,13:59:47,12069.779999999999,17:20:56,717.79
ID1703502102,,5,7,-37.8032103,144.9356453,-37.8618349,144.905716,10969.0,2018-02-23,23:14:37,3546.42,0:13:43,20.44
ID5627630532,2.0,3,9,-37.8242946,144.9821484,-38.1109156,144.6541725,45572.0,2018-07-28,13:32:02,10984.38,16:35:06,659.86
ID1304444341,0.0,6,7,-37.7907967,144.985865,-37.8618349,144.905716,11711.0,2018-05-07,12:59:54,3866.9400000000014,14:04:20,15.39
ID5406134503,,4,3,-37.8027457,144.9942956,-37.8092433,144.9783574,2158.0,2018-05-16,00:11:44,532.9799999999999,0:20:36,62.13
ID1145520907,0.0,6,7,-37.7874421,144.9804091,-37.8618349,144.905716,11630.0,2018-01-07,20:19:53,3697.0200000000013,21:21:30,21.98
ID1256750066,0.0,2,7,-37.8206516,144.9486218,-37.8618349,144.905716,8872.0,2018-01-21,03:53:08,3020.52,4:43:28,26.04
ID1884550730,0.0,2,4,-37.8151161,144.927561,-37.8154019,145.012625,9293.0,2018-05-11,02:54:50,2297.5199999999995,3:33:07,17.79
ID1243485371,0.0,8,3,-37.8158343,145.04645,-37.8129413,144.9858829,5651.0,2018-02-12,13:39:34,1686.3000000000002,14:07:40,13.57
ID1222632895,,8,3,-37.807202,145.0266373,-37.8192935,144.9820908,5365.0,2018-01-08,20:51:29,1331.7599999999998,21:13:40,12.26
ID3847542499,1.0,5,9,-37.8048774,144.9358409,-38.1109156,144.6541725,43401.0,2018-02-28,13:34:04,10397.16,16:27:21,52.51
ID3481263169,1.0,9,8,-38.1109156,144.6541725,-37.8158343,145.04645,51032.0,2018-04-03,05:21:49,12681.060000000005,8:53:10,66.26
